,t [yr],m acc [MSun],dm acc [MSun],m don [MSun],dm don [MSun],a [AU]
93,292.644294316,1.00027576958,2.14101435546e-09,1.19970735571,2.12493658941e-09,0.0214978724613
94,292.664839808,1.00027579013,1.98556237308e-09,1.19970733516,1.97065196068e-09,0.0204442626651
95,292.702104272,1.00027582746,1.78670590088e-09,1.1997072979,1.75997242276e-09,0.0189598722806
96,292.75136301,1.00027587684,1.53667131147e-09,1.19970724864,1.51367896103e-09,0.0171469684458
97,292.793728399,1.00027591931,1.32162698063e-09,1.19970720627,1.30185221811e-09,0.0155074107559
98,292.830165106,1.00027595584,1.13667631226e-09,1.19970716983,1.11966886296e-09,0.014024624203
99,292.861502799,1.00027598726,9.77607948409e-10,1.1997071385,9.62980549864e-10,0.0126836186489
100,292.888455044,1.00027601428,8.40799875849e-10,1.19970711154,8.28219459753e-10,0.011470837283
101,292.911635546,1.00027603752,7.23136952076e-10,1.19970708836,7.12317060278e-10,0.0103740195702
102,292.935108831,1.0002760611,5.98936043621e-10,1.19970706489,5.85544137166e-10,0.00910342021374
103,292.956190011,1.0002760823,4.77718790758e-10,1.19970704381,4.67037240742e-10,0.00782947256855
104,292.973004621,1.00027609921,3.81034412365e-10,1.199707027,3.72514676098e-10,0.00673380326615
105,292.988926106,1.00027611527,2.86132535363e-10,1.19970701107,2.77634112767e-10,0.005535370778
106,293.001978209,1.00027612846,2.05366055845e-10,1.19970699802,1.97770103975e-10,0.00441508016548
107,293.012709307,1.00027613935,1.35668941734e-10,1.19970698729,1.296697916e-10,0.00333214614482
108,293.021340237,1.00027614817,7.76665002434e-11,1.19970697866,7.25723688271e-11,0.0022629712252
109,293.027670463,1.00027615475,3.26414368841e-11,1.19970697233,2.89328758365e-11,0.00122581773734
110,293.031391384,1.00027615889,3.78023247139e-12,1.19970696861,2.13169271123e-12,0.000215434159103
